"subj" "group" "tree" "cat" "rt"
"s4" "gr1" "lure" "c_r" 712
"s4" "gr1" "lure" "c_r" 793
"s4" "gr1" "lure" "c_r" 363
"s4" "gr1" "lure" "c_r" 508
"s4" "gr1" "lure" "c_r" 380
"s4" "gr1" "lure" "f_a" 636
"s4" "gr1" "lure" "c_r" 315
"s4" "gr1" "lure" "c_r" 429
"s4" "gr1" "lure" "c_r" 618
"s4" "gr1" "lure" "c_r" 274
"s4" "gr1" "lure" "c_r" 552
"s4" "gr1" "lure" "c_r" 395
"s4" "gr1" "lure" "f_a" 282
"s4" "gr1" "lure" "f_a" 301
"s4" "gr1" "lure" "c_r" 308
"s4" "gr1" "lure" "f_a" 1232
"s4" "gr1" "lure" "c_r" 473
"s4" "gr1" "lure" "c_r" 512
"s4" "gr1" "lure" "c_r" 549
"s4" "gr1" "lure" "c_r" 433
"s4" "gr1" "lure" "f_a" 642
"s4" "gr1" "lure" "c_r" 296
"s4" "gr1" "lure" "c_r" 577
"s4" "gr1" "lure" "c_r" 627
"s4" "gr1" "lure" "c_r" 881
"s4" "gr1" "lure" "f_a" 385
"s5" "gr1" "target" "hit" 554
"s5" "gr1" "target" "hit" 651
"s5" "gr1" "target" "hit" 435
"s5" "gr1" "target" "hit" 551
"s5" "gr1" "target" "hit" 642
"s5" "gr1" "target" "hit" 598
"s5" "gr1" "target" "hit" 511
"s5" "gr1" "target" "hit" 598
"s5" "gr1" "target" "miss" 619
"s5" "gr1" "target" "miss" 507
"s5" "gr1" "target" "hit" 582
"s5" "gr1" "target" "miss" 561
"s5" "gr1" "target" "miss" 550
"s5" "gr1" "target" "miss" 675
"s5" "gr1" "target" "hit" 683
"s5" "gr1" "target" "hit" 670
"s5" "gr1" "target" "miss" 799
"s5" "gr1" "target" "hit" 684
"s5" "gr1" "target" "miss" 515
"s5" "gr1" "target" "hit" 546
"s5" "gr1" "target" "hit" 555
"s5" "gr1" "target" "hit" 510
"s5" "gr1" "target" "miss" 557
"s5" "gr1" "target" "hit" 804
"s5" "gr1" "target" "hit" 566
"s5" "gr1" "target" "hit" 1061
"s5" "gr1" "target" "hit" 479
"s5" "gr1" "target" "hit" 456
"s5" "gr1" "target" "hit" 533
"s5" "gr1" "target" "hit" 574
"s5" "gr1" "lure" "f_a" 751
"s5" "gr1" "lure" "c_r" 828
"s5" "gr1" "lure" "c_r" 708
"s5" "gr1" "lure" "c_r" 589
"s5" "gr1" "lure" "c_r" 852
"s5" "gr1" "lure" "c_r" 617
"s5" "gr1" "lure" "c_r" 906
"s5" "gr1" "lure" "f_a" 649
"s5" "gr1" "lure" "f_a" 887
"s5" "gr1" "lure" "f_a" 677
"s5" "gr1" "lure" "c_r" 583
"s5" "gr1" "lure" "c_r" 752
"s5" "gr1" "lure" "c_r" 593
"s5" "gr1" "lure" "c_r" 977
"s5" "gr1" "lure" "f_a" 605
"s5" "gr1" "lure" "f_a" 536
"s5" "gr1" "lure" "c_r" 680
"s5" "gr1" "lure" "c_r" 945
"s5" "gr1" "lure" "c_r" 571
"s5" "gr1" "lure" "c_r" 866
"s5" "gr1" "lure" "f_a" 697
"s5" "gr1" "lure" "c_r" 679
"s5" "gr1" "lure" "c_r" 645
"s5" "gr1" "lure" "f_a" 621
"s5" "gr1" "lure" "c_r" 568
"s5" "gr1" "lure" "c_r" 626
"s5" "gr1" "lure" "c_r" 593
"s5" "gr1" "lure" "c_r" 820
"s5" "gr1" "lure" "f_a" 746
"s5" "gr1" "lure" "c_r" 555
"s6" "gr1" "target" "hit" 694
"s6" "gr1" "target" "hit" 1066
"s6" "gr1" "target" "hit" 852
"s6" "gr1" "target" "hit" 596
"s6" "gr1" "target" "hit" 758
"s6" "gr1" "target" "hit" 818
"s6" "gr1" "target" "hit" 613
"s6" "gr1" "target" "hit" 1241
"s6" "gr1" "target" "hit" 613
"s6" "gr1" "target" "hit" 600
"s6" "gr1" "target" "hit" 993
"s6" "gr1" "target" "hit" 624
"s6" "gr1" "target" "hit" 798
"s6" "gr1" "target" "miss" 635
"s6" "gr1" "target" "miss" 917
"s6" "gr1" "target" "hit" 731
"s6" "gr1" "target" "miss" 617
"s6" "gr1" "target" "hit" 612
"s6" "gr1" "target" "hit" 691
"s6" "gr1" "target" "miss" 555
"s6" "gr1" "target" "hit" 624
"s6" "gr1" "target" "hit" 570
"s6" "gr1" "target" "miss" 808
"s6" "gr1" "target" "hit" 657
"s6" "gr1" "target" "hit" 1425
"s6" "gr1" "target" "hit" 949
"s6" "gr1" "target" "hit" 687
"s6" "gr1" "target" "miss" 581
"s6" "gr1" "target" "hit" 777
"s6" "gr1" "target" "hit" 620
"s6" "gr1" "lure" "c_r" 724
"s6" "gr1" "lure" "c_r" 1166
"s6" "gr1" "lure" "c_r" 593
"s6" "gr1" "lure" "c_r" 820
"s6" "gr1" "lure" "f_a" 761
"s6" "gr1" "lure" "c_r" 1151
"s6" "gr1" "lure" "c_r" 747
"s6" "gr1" "lure" "c_r" 771
"s6" "gr1" "lure" "c_r" 738
"s6" "gr1" "lure" "f_a" 889
"s6" "gr1" "lure" "c_r" 803
"s6" "gr1" "lure" "c_r" 1015
"s6" "gr1" "lure" "c_r" 620
"s6" "gr1" "lure" "c_r" 811
"s6" "gr1" "lure" "f_a" 926
"s6" "gr1" "lure" "f_a" 615
"s6" "gr1" "lure" "c_r" 735
"s6" "gr1" "lure" "c_r" 680
"s6" "gr1" "lure" "c_r" 632
"s6" "gr1" "lure" "c_r" 869
"s6" "gr1" "lure" "c_r" 547
"s6" "gr1" "lure" "c_r" 777
"s6" "gr1" "lure" "c_r" 775
"s6" "gr1" "lure" "c_r" 651
"s6" "gr1" "lure" "f_a" 895
"s6" "gr1" "lure" "c_r" 972
"s6" "gr1" "lure" "c_r" 732
"s6" "gr1" "lure" "f_a" 711
"s6" "gr1" "lure" "c_r" 632
"s6" "gr1" "lure" "c_r" 810
"s7" "gr1" "target" "hit" 647
"s7" "gr1" "target" "miss" 1409
"s7" "gr1" "target" "hit" 707
"s7" "gr1" "target" "miss" 884
"s7" "gr1" "target" "miss" 582
"s7" "gr1" "target" "hit" 747
"s7" "gr1" "target" "hit" 943
"s7" "gr1" "target" "hit" 510
"s7" "gr1" "target" "hit" 509
"s7" "gr1" "target" "hit" 635
"s7" "gr1" "target" "hit" 912
"s7" "gr1" "target" "hit" 591
"s7" "gr1" "target" "miss" 1054
"s7" "gr1" "target" "hit" 748
"s7" "gr1" "target" "hit" 804
"s7" "gr1" "target" "hit" 989
"s7" "gr1" "target" "hit" 488
"s7" "gr1" "target" "miss" 408
"s7" "gr1" "target" "hit" 652
"s7" "gr1" "target" "hit" 776
"s7" "gr1" "target" "hit" 366
"s7" "gr1" "target" "hit" 769
"s7" "gr1" "target" "hit" 886
"s7" "gr1" "target" "miss" 795
"s7" "gr1" "target" "hit" 445
"s7" "gr1" "target" "hit" 464
"s7" "gr1" "target" "hit" 896
"s7" "gr1" "target" "miss" 795
"s7" "gr1" "target" "hit" 676
"s7" "gr1" "target" "miss" 458
"s7" "gr1" "lure" "c_r" 575
"s7" "gr1" "lure" "f_a" 1019
"s7" "gr1" "lure" "c_r" 707
"s7" "gr1" "lure" "f_a" 576
"s7" "gr1" "lure" "c_r" 953
"s7" "gr1" "lure" "c_r" 760
"s7" "gr1" "lure" "c_r" 1050
"s7" "gr1" "lure" "f_a" 1650
"s7" "gr1" "lure" "c_r" 996
"s7" "gr1" "lure" "c_r" 1234
"s7" "gr1" "lure" "c_r" 838
"s7" "gr1" "lure" "c_r" 866
"s7" "gr1" "lure" "c_r" 874
"s7" "gr1" "lure" "c_r" 857
"s7" "gr1" "lure" "f_a" 692
"s7" "gr1" "lure" "f_a" 867
"s7" "gr1" "lure" "c_r" 985
"s7" "gr1" "lure" "c_r" 521
"s7" "gr1" "lure" "c_r" 983
"s7" "gr1" "lure" "c_r" 1031
"s7" "gr1" "lure" "c_r" 885
"s7" "gr1" "lure" "c_r" 761
"s7" "gr1" "lure" "c_r" 871
"s7" "gr1" "lure" "c_r" 546
"s7" "gr1" "lure" "c_r" 722
"s7" "gr1" "lure" "c_r" 1021
"s7" "gr1" "lure" "f_a" 775
"s7" "gr1" "lure" "f_a" 879
"s7" "gr1" "lure" "f_a" 580
"s7" "gr1" "lure" "c_r" 995
"s8" "gr1" "target" "hit" 597
"s8" "gr1" "target" "hit" 490
"s8" "gr1" "target" "hit" 550
"s8" "gr1" "target" "hit" 599
"s8" "gr1" "target" "hit" 581
"s8" "gr1" "target" "hit" 480
"s8" "gr1" "target" "hit" 467
"s8" "gr1" "target" "hit" 760
"s8" "gr1" "target" "hit" 509
"s8" "gr1" "target" "hit" 685
"s8" "gr1" "target" "hit" 459
"s8" "gr1" "target" "hit" 922
"s8" "gr1" "target" "miss" 506
"s8" "gr1" "target" "hit" 493
"s8" "gr1" "target" "hit" 482
"s8" "gr1" "target" "hit" 479
"s8" "gr1" "target" "hit" 455
"s8" "gr1" "target" "hit" 494
"s8" "gr1" "target" "hit" 610
"s8" "gr1" "target" "hit" 615
"s8" "gr1" "target" "hit" 454
"s8" "gr1" "target" "hit" 522
"s8" "gr1" "target" "hit" 582
"s8" "gr1" "target" "hit" 995
"s8" "gr1" "target" "hit" 921
"s8" "gr1" "target" "hit" 600
"s8" "gr1" "target" "hit" 649
"s8" "gr1" "target" "hit" 490
"s8" "gr1" "target" "miss" 649
"s8" "gr1" "target" "hit" 460
"s8" "gr1" "lure" "f_a" 626
"s8" "gr1" "lure" "c_r" 832
"s8" "gr1" "lure" "c_r" 717
"s8" "gr1" "lure" "c_r" 1180
"s8" "gr1" "lure" "c_r" 674
"s8" "gr1" "lure" "c_r" 695
"s8" "gr1" "lure" "f_a" 809
"s8" "gr1" "lure" "f_a" 574
"s8" "gr1" "lure" "c_r" 901
"s8" "gr1" "lure" "c_r" 703
"s8" "gr1" "lure" "c_r" 645
"s8" "gr1" "lure" "c_r" 620
"s8" "gr1" "lure" "f_a" 431
"s8" "gr1" "lure" "c_r" 461
"s8" "gr1" "lure" "c_r" 547
"s8" "gr1" "lure" "c_r" 799
"s8" "gr1" "lure" "c_r" 663
"s8" "gr1" "lure" "c_r" 585
"s8" "gr1" "lure" "c_r" 664
"s8" "gr1" "lure" "c_r" 645
"s8" "gr1" "lure" "c_r" 695
"s8" "gr1" "lure" "c_r" 816
"s8" "gr1" "lure" "f_a" 855
"s8" "gr1" "lure" "c_r" 679
"s8" "gr1" "lure" "c_r" 977
"s8" "gr1" "lure" "f_a" 710
"s8" "gr1" "lure" "c_r" 856
"s8" "gr1" "lure" "c_r" 1301
"s8" "gr1" "lure" "c_r" 643
"s8" "gr1" "lure" "c_r" 469
"s9" "gr1" "target" "hit" 789
"s9" "gr1" "target" "hit" 742
"s9" "gr1" "target" "hit" 594
"s9" "gr1" "target" "miss" 388
"s9" "gr1" "target" "miss" 830
"s9" "gr1" "target" "hit" 1079
"s9" "gr1" "target" "miss" 612
"s9" "gr1" "target" "miss" 407
"s9" "gr1" "target" "miss" 674
"s9" "gr1" "target" "hit" 353
"s9" "gr1" "target" "miss" 539
"s9" "gr1" "target" "hit" 403
"s9" "gr1" "target" "miss" 411
"s9" "gr1" "target" "hit" 1339
"s9" "gr1" "target" "hit" 336
"s9" "gr1" "target" "hit" 481
"s9" "gr1" "target" "hit" 376
"s9" "gr1" "target" "hit" 657
"s9" "gr1" "target" "miss" 694
"s9" "gr1" "target" "miss" 877
"s9" "gr1" "target" "hit" 541
"s9" "gr1" "target" "hit" 339
"s9" "gr1" "target" "hit" 782
"s9" "gr1" "target" "hit" 1165
"s9" "gr1" "target" "hit" 488
"s9" "gr1" "target" "miss" 370
"s9" "gr1" "target" "hit" 341
"s9" "gr1" "target" "hit" 357
"s9" "gr1" "target" "miss" 449
"s9" "gr1" "target" "hit" 457
"s9" "gr1" "lure" "f_a" 291
"s9" "gr1" "lure" "c_r" 642
"s9" "gr1" "lure" "c_r" 685
"s9" "gr1" "lure" "c_r" 781
"s9" "gr1" "lure" "c_r" 482
"s9" "gr1" "lure" "c_r" 884
"s9" "gr1" "lure" "c_r" 505
"s9" "gr1" "lure" "f_a" 876
"s9" "gr1" "lure" "f_a" 588
"s9" "gr1" "lure" "f_a" 579
"s9" "gr1" "lure" "c_r" 653
"s9" "gr1" "lure" "c_r" 965
"s9" "gr1" "lure" "f_a" 684
"s9" "gr1" "lure" "c_r" 916
"s9" "gr1" "lure" "c_r" 826
"s9" "gr1" "lure" "c_r" 669
"s9" "gr1" "lure" "f_a" 722
"s9" "gr1" "lure" "f_a" 684
"s9" "gr1" "lure" "c_r" 633
"s9" "gr1" "lure" "f_a" 847
"s9" "gr1" "lure" "c_r" 751
"s9" "gr1" "lure" "c_r" 415
"s9" "gr1" "lure" "c_r" 838
"s9" "gr1" "lure" "f_a" 679
"s9" "gr1" "lure" "c_r" 676
"s9" "gr1" "lure" "c_r" 960
"s9" "gr1" "lure" "f_a" 729
"s9" "gr1" "lure" "f_a" 1069
"s9" "gr1" "lure" "f_a" 830
"s9" "gr1" "lure" "c_r" 737
"s10" "gr1" "target" "hit" 803
"s10" "gr1" "target" "hit" 988
"s10" "gr1" "target" "miss" 852
"s10" "gr1" "target" "hit" 530
"s10" "gr1" "target" "hit" 605
"s10" "gr1" "target" "miss" 1422
"s10" "gr1" "target" "hit" 589
"s10" "gr1" "target" "hit" 670
"s10" "gr1" "target" "miss" 872
"s10" "gr1" "target" "miss" 459
"s10" "gr1" "target" "hit" 587
"s10" "gr1" "target" "hit" 1004
"s10" "gr1" "target" "miss" 757
"s10" "gr1" "target" "hit" 1124
"s10" "gr1" "target" "hit" 557
"s10" "gr1" "target" "hit" 591
"s10" "gr1" "target" "hit" 1033
"s10" "gr1" "target" "hit" 867
"s10" "gr1" "target" "miss" 879
"s10" "gr1" "target" "hit" 562
"s10" "gr1" "target" "miss" 801
"s10" "gr1" "target" "hit" 536
"s10" "gr1" "target" "miss" 576
"s10" "gr1" "target" "hit" 637
"s10" "gr1" "target" "hit" 671
"s10" "gr1" "target" "hit" 534
"s10" "gr1" "target" "miss" 631
"s10" "gr1" "target" "miss" 755
"s10" "gr1" "target" "hit" 651
"s10" "gr1" "target" "hit" 592
"s10" "gr1" "lure" "c_r" 859
"s10" "gr1" "lure" "c_r" 639
"s10" "gr1" "lure" "c_r" 789
"s10" "gr1" "lure" "c_r" 737
"s10" "gr1" "lure" "c_r" 665
"s10" "gr1" "lure" "c_r" 885
"s10" "gr1" "lure" "c_r" 733
"s10" "gr1" "lure" "c_r" 612
"s10" "gr1" "lure" "c_r" 887
"s10" "gr1" "lure" "c_r" 907
"s10" "gr1" "lure" "c_r" 666
"s10" "gr1" "lure" "c_r" 1058
"s10" "gr1" "lure" "c_r" 916
"s10" "gr1" "lure" "c_r" 805
"s10" "gr1" "lure" "c_r" 611
"s10" "gr1" "lure" "c_r" 813
"s10" "gr1" "lure" "f_a" 674
"s10" "gr1" "lure" "c_r" 680
"s10" "gr1" "lure" "c_r" 815
"s10" "gr1" "lure" "c_r" 663
"s10" "gr1" "lure" "f_a" 1373
"s10" "gr1" "lure" "c_r" 1078
"s10" "gr1" "lure" "c_r" 685
"s10" "gr1" "lure" "c_r" 570
"s10" "gr1" "lure" "c_r" 777
"s10" "gr1" "lure" "c_r" 683
"s10" "gr1" "lure" "c_r" 634
"s10" "gr1" "lure" "c_r" 618
"s10" "gr1" "lure" "c_r" 756
"s10" "gr1" "lure" "c_r" 674
"s11" "gr1" "target" "hit" 882
"s11" "gr1" "target" "hit" 513
"s11" "gr1" "target" "hit" 805
"s11" "gr1" "target" "miss" 476
"s11" "gr1" "target" "hit" 423
"s11" "gr1" "target" "miss" 676
"s11" "gr1" "target" "hit" 432
"s11" "gr1" "target" "hit" 397
"s11" "gr1" "target" "hit" 657
"s11" "gr1" "target" "hit" 647
"s11" "gr1" "target" "hit" 558
"s11" "gr1" "target" "hit" 632
"s11" "gr1" "target" "hit" 533
"s11" "gr1" "target" "hit" 519
"s11" "gr1" "target" "hit" 517
"s11" "gr1" "target" "hit" 400
"s11" "gr1" "target" "hit" 577
"s11" "gr1" "target" "hit" 781
"s11" "gr1" "target" "hit" 621
"s11" "gr1" "target" "hit" 620
"s11" "gr1" "target" "hit" 445
"s11" "gr1" "target" "hit" 530
"s11" "gr1" "target" "hit" 585
"s11" "gr1" "target" "hit" 614
"s11" "gr1" "target" "hit" 433
"s11" "gr1" "target" "hit" 886
"s11" "gr1" "target" "hit" 1557
"s11" "gr1" "target" "hit" 791
"s11" "gr1" "target" "miss" 763
"s11" "gr1" "target" "miss" 505
"s11" "gr1" "lure" "c_r" 871
"s11" "gr1" "lure" "c_r" 1701
"s11" "gr1" "lure" "c_r" 456
"s11" "gr1" "lure" "c_r" 484
"s11" "gr1" "lure" "c_r" 1228
"s11" "gr1" "lure" "f_a" 696
"s11" "gr1" "lure" "c_r" 790
"s11" "gr1" "lure" "c_r" 1435
"s11" "gr1" "lure" "c_r" 717
"s11" "gr1" "lure" "c_r" 559
"s11" "gr1" "lure" "f_a" 1095
"s11" "gr1" "lure" "c_r" 501
"s11" "gr1" "lure" "c_r" 478
"s11" "gr1" "lure" "c_r" 763
"s11" "gr1" "lure" "f_a" 1289
"s11" "gr1" "lure" "c_r" 828
"s11" "gr1" "lure" "c_r" 840
"s11" "gr1" "lure" "f_a" 627
"s11" "gr1" "lure" "f_a" 766
"s11" "gr1" "lure" "c_r" 841
"s11" "gr1" "lure" "f_a" 702
"s11" "gr1" "lure" "c_r" 644
"s11" "gr1" "lure" "c_r" 674
"s11" "gr1" "lure" "c_r" 936
"s11" "gr1" "lure" "c_r" 1158
"s11" "gr1" "lure" "c_r" 1130
"s11" "gr1" "lure" "c_r" 739
"s11" "gr1" "lure" "f_a" 781
"s11" "gr1" "lure" "c_r" 811
"s11" "gr1" "lure" "c_r" 665
"s12" "gr1" "target" "hit" 658
"s12" "gr1" "target" "hit" 519
"s12" "gr1" "target" "hit" 557
"s12" "gr1" "target" "hit" 527
"s12" "gr1" "target" "hit" 563
"s12" "gr1" "target" "hit" 916
"s12" "gr1" "target" "hit" 613
"s12" "gr1" "target" "hit" 653
"s12" "gr1" "target" "miss" 548
"s12" "gr1" "target" "hit" 638
"s12" "gr1" "target" "hit" 952
"s12" "gr1" "target" "hit" 768
"s12" "gr1" "target" "hit" 583
"s12" "gr1" "target" "miss" 620
"s12" "gr1" "target" "miss" 710
"s12" "gr1" "target" "hit" 942
"s12" "gr1" "target" "hit" 540
"s12" "gr1" "target" "hit" 437
"s12" "gr1" "target" "hit" 473
"s12" "gr1" "target" "hit" 574
"s12" "gr1" "target" "miss" 609
"s12" "gr1" "target" "hit" 535
"s12" "gr1" "target" "hit" 535
"s12" "gr1" "target" "miss" 568
"s12" "gr1" "target" "hit" 512
"s12" "gr1" "target" "hit" 767
"s12" "gr1" "target" "hit" 549
"s12" "gr1" "target" "hit" 1099
"s12" "gr1" "target" "hit" 478
"s12" "gr1" "target" "hit" 547
"s12" "gr1" "lure" "c_r" 760
"s12" "gr1" "lure" "c_r" 869
"s12" "gr1" "lure" "c_r" 929
"s12" "gr1" "lure" "c_r" 859
"s12" "gr1" "lure" "c_r" 595
"s12" "gr1" "lure" "f_a" 576
