"subj" "group" "tree" "cat" "rt"
"s1" "gr1" "target" "hit" 787
"s1" "gr1" "target" "hit" 825
"s1" "gr1" "target" "hit" 531
"s1" "gr1" "target" "hit" 569
"s1" "gr1" "target" "hit" 730
"s1" "gr1" "target" "hit" 478
"s1" "gr1" "target" "hit" 519
"s1" "gr1" "target" "miss" 538
"s1" "gr1" "target" "hit" 659
"s1" "gr1" "target" "hit" 682
"s1" "gr1" "target" "hit" 1789
"s1" "gr1" "target" "hit" 526
"s1" "gr1" "target" "hit" 1165
"s1" "gr1" "target" "hit" 549
"s1" "gr1" "target" "miss" 775
"s1" "gr1" "target" "hit" 435
"s1" "gr1" "target" "hit" 691
"s1" "gr1" "target" "hit" 736
"s1" "gr1" "target" "hit" 573
"s1" "gr1" "target" "hit" 445
"s1" "gr1" "target" "hit" 932
"s1" "gr1" "target" "hit" 1046
"s1" "gr1" "target" "hit" 566
"s1" "gr1" "target" "hit" 770
"s1" "gr1" "target" "hit" 679
"s1" "gr1" "target" "hit" 669
"s1" "gr1" "target" "hit" 547
"s1" "gr1" "target" "hit" 497
"s1" "gr1" "target" "hit" 482
"s1" "gr1" "target" "hit" 546
"s1" "gr1" "lure" "c_r" 569
"s1" "gr1" "lure" "f_a" 820
"s1" "gr1" "lure" "c_r" 883
"s1" "gr1" "lure" "c_r" 996
"s1" "gr1" "lure" "c_r" 667
"s1" "gr1" "lure" "c_r" 941
"s1" "gr1" "lure" "c_r" 554
"s1" "gr1" "lure" "c_r" 822
"s1" "gr1" "lure" "f_a" 818
"s1" "gr1" "lure" "c_r" 830
"s1" "gr1" "lure" "c_r" 857
"s1" "gr1" "lure" "f_a" 706
"s1" "gr1" "lure" "c_r" 888
"s1" "gr1" "lure" "c_r" 707
"s1" "gr1" "lure" "c_r" 889
"s1" "gr1" "lure" "c_r" 875
"s1" "gr1" "lure" "c_r" 1243
"s1" "gr1" "lure" "c_r" 718
"s1" "gr1" "lure" "c_r" 799
"s1" "gr1" "lure" "f_a" 730
"s1" "gr1" "lure" "f_a" 1157
"s1" "gr1" "lure" "c_r" 1487
"s1" "gr1" "lure" "c_r" 846
"s1" "gr1" "lure" "c_r" 798
"s1" "gr1" "lure" "c_r" 604
"s1" "gr1" "lure" "c_r" 826
"s1" "gr1" "lure" "f_a" 1283
"s1" "gr1" "lure" "c_r" 700
"s1" "gr1" "lure" "c_r" 791
"s1" "gr1" "lure" "c_r" 813
"s2" "gr1" "target" "hit" 645
"s2" "gr1" "target" "hit" 562
"s2" "gr1" "target" "miss" 587
"s2" "gr1" "target" "hit" 882
"s2" "gr1" "target" "hit" 587
"s2" "gr1" "target" "hit" 844
"s2" "gr1" "target" "hit" 893
"s2" "gr1" "target" "hit" 564
"s2" "gr1" "target" "miss" 482
"s2" "gr1" "target" "hit" 1160
"s2" "gr1" "target" "hit" 666
"s2" "gr1" "target" "hit" 546
"s2" "gr1" "target" "hit" 745
"s2" "gr1" "target" "hit" 586
"s2" "gr1" "target" "miss" 502
"s2" "gr1" "target" "hit" 784
"s2" "gr1" "target" "hit" 689
"s2" "gr1" "target" "hit" 727
"s2" "gr1" "target" "hit" 437
"s2" "gr1" "target" "hit" 960
"s2" "gr1" "target" "miss" 495
"s2" "gr1" "target" "hit" 537
"s2" "gr1" "target" "hit" 525
"s2" "gr1" "target" "hit" 543
"s2" "gr1" "target" "hit" 465
"s2" "gr1" "target" "hit" 705
"s2" "gr1" "target" "miss" 460
"s2" "gr1" "target" "miss" 554
"s2" "gr1" "target" "miss" 889
"s2" "gr1" "target" "hit" 525
"s2" "gr1" "lure" "c_r" 782
"s2" "gr1" "lure" "f_a" 604
"s2" "gr1" "lure" "c_r" 590
"s2" "gr1" "lure" "c_r" 899
"s2" "gr1" "lure" "c_r" 764
"s2" "gr1" "lure" "c_r" 803
"s2" "gr1" "lure" "c_r" 682
"s2" "gr1" "lure" "c_r" 616
"s2" "gr1" "lure" "c_r" 660
"s2" "gr1" "lure" "c_r" 680
"s2" "gr1" "lure" "f_a" 561
"s2" "gr1" "lure" "c_r" 817
"s2" "gr1" "lure" "c_r" 652
"s2" "gr1" "lure" "c_r" 676
"s2" "gr1" "lure" "c_r" 820
"s2" "gr1" "lure" "c_r" 837
"s2" "gr1" "lure" "c_r" 518
"s2" "gr1" "lure" "c_r" 904
"s2" "gr1" "lure" "c_r" 532
"s2" "gr1" "lure" "c_r" 642
"s2" "gr1" "lure" "c_r" 699
"s2" "gr1" "lure" "c_r" 870
"s2" "gr1" "lure" "c_r" 687
"s2" "gr1" "lure" "c_r" 748
"s2" "gr1" "lure" "c_r" 721
"s2" "gr1" "lure" "c_r" 761
"s2" "gr1" "lure" "c_r" 750
"s2" "gr1" "lure" "c_r" 819
"s2" "gr1" "lure" "f_a" 786
"s2" "gr1" "lure" "c_r" 728
"s3" "gr1" "target" "hit" 575
"s3" "gr1" "target" "hit" 546
"s3" "gr1" "target" "hit" 788
"s3" "gr1" "target" "miss" 1159
"s3" "gr1" "target" "hit" 727
"s3" "gr1" "target" "miss" 566
"s3" "gr1" "target" "hit" 590
"s3" "gr1" "target" "hit" 848
"s3" "gr1" "target" "miss" 578
"s3" "gr1" "target" "miss" 678
"s3" "gr1" "target" "hit" 710
"s3" "gr1" "target" "miss" 588
"s3" "gr1" "target" "hit" 589
"s3" "gr1" "target" "hit" 746
"s3" "gr1" "target" "hit" 970
"s3" "gr1" "target" "hit" 511
"s3" "gr1" "target" "hit" 696
"s3" "gr1" "target" "hit" 628
"s3" "gr1" "target" "hit" 676
"s3" "gr1" "target" "hit" 983
"s3" "gr1" "target" "hit" 779
"s3" "gr1" "target" "hit" 772
"s3" "gr1" "target" "hit" 547
"s3" "gr1" "target" "hit" 591
"s3" "gr1" "target" "hit" 1123
"s3" "gr1" "target" "hit" 578
"s3" "gr1" "target" "miss" 915
"s3" "gr1" "target" "hit" 678
"s3" "gr1" "target" "hit" 656
"s3" "gr1" "target" "miss" 690
"s3" "gr1" "lure" "f_a" 619
"s3" "gr1" "lure" "c_r" 636
"s3" "gr1" "lure" "f_a" 715
"s3" "gr1" "lure" "c_r" 939
"s3" "gr1" "lure" "c_r" 904
"s3" "gr1" "lure" "f_a" 555
"s3" "gr1" "lure" "f_a" 651
"s3" "gr1" "lure" "c_r" 811
"s3" "gr1" "lure" "f_a" 562
"s3" "gr1" "lure" "c_r" 592
"s3" "gr1" "lure" "c_r" 552
"s3" "gr1" "lure" "c_r" 782
"s3" "gr1" "lure" "c_r" 648
"s3" "gr1" "lure" "c_r" 585
"s3" "gr1" "lure" "f_a" 482
"s3" "gr1" "lure" "f_a" 1180
"s3" "gr1" "lure" "f_a" 495
"s3" "gr1" "lure" "c_r" 597
"s3" "gr1" "lure" "c_r" 704
"s3" "gr1" "lure" "c_r" 887
"s3" "gr1" "lure" "c_r" 540
"s3" "gr1" "lure" "c_r" 792
"s3" "gr1" "lure" "c_r" 478
"s3" "gr1" "lure" "f_a" 712
"s3" "gr1" "lure" "f_a" 894
"s3" "gr1" "lure" "c_r" 563
"s3" "gr1" "lure" "c_r" 630
"s3" "gr1" "lure" "c_r" 541
"s3" "gr1" "lure" "c_r" 567
"s3" "gr1" "lure" "c_r" 746
"s4" "gr1" "target" "hit" 722
"s4" "gr1" "target" "hit" 415
"s4" "gr1" "target" "hit" 859
"s4" "gr1" "target" "hit" 823
"s4" "gr1" "target" "miss" 618
"s4" "gr1" "target" "hit" 684
"s4" "gr1" "target" "hit" 635
"s4" "gr1" "target" "hit" 435
"s4" "gr1" "target" "hit" 690
"s4" "gr1" "target" "hit" 725
"s4" "gr1" "target" "hit" 817
"s4" "gr1" "target" "hit" 761
"s4" "gr1" "target" "miss" 675
"s4" "gr1" "target" "miss" 653
"s4" "gr1" "target" "hit" 773
"s4" "gr1" "target" "hit" 695
"s4" "gr1" "target" "hit" 697
"s4" "gr1" "target" "hit" 682
"s4" "gr1" "target" "hit" 838
"s4" "gr1" "target" "hit" 716
"s4" "gr1" "target" "miss" 723
"s4" "gr1" "target" "hit" 848
"s4" "gr1" "target" "hit" 771
"s4" "gr1" "target" "hit" 759
"s4" "gr1" "target" "hit" 733
"s4" "gr1" "target" "hit" 688
"s4" "gr1" "target" "miss" 638
"s4" "gr1" "target" "hit" 641
"s4" "gr1" "target" "hit" 780
"s4" "gr1" "target" "hit" 809
"s4" "gr1" "lure" "c_r" 601
"s4" "gr1" "lure" "c_r" 341
"s4" "gr1" "lure" "f_a" 530
"s4" "gr1" "lure" "c_r" 895
